number,label,grouping_id,definition,linked_moa_ids,note
10.4,Social reward,RT,Arrange verbal or non-verbal reward if and only if there has been effort and/or progress in performing the behavior (includes ‘Positive reinforcement’),reinforcement,"Note: if reward is material, code 10.2,Material reward (behavior), if unspecifiedcode 10.3, Non-specific reward, and not10.4, Social reward; if reward is foroutcome code 10.10, Reward (outcome).If informed of reward in advance ofrewarded behaviour, also code one of:10.1, Material incentive (behaviour);10.5, Social incentive; 10.6, Non-specificincentive; 10.7, Self-incentive; 10.8,Incentive (outcome)"
10.5,Social incentive,RT,Inform that a verbal or non-verbal reward will be delivered if and only if there has been effort and/or progress in performing the behavior (includes ‘Positive reinforcement’),,"Note: if incentive is material, code 10.1,Material incentive (behavior), ifunspecified code 10.6, Non-specificincentive, and not 10.5, Social incentive; ifincentive is for outcome code 10.8,Incentive (outcome). If reward is deliveredalso code one of: 10.2, Material reward(behavior); 10.3, Non-specific reward;10.4, Social reward, 10.9, Self-reward;10.10, Reward (outcome)"
10.6,Non-specific incentive,RT,"Inform that a reward will be delivered if and only if there has been effort and/or progress in performing the behavior (includes ‘Positive reinforcement’) Note: if incentive is material, code 10.1, Material incentive (behavior), if social, code 10.5, Social incentive and not 10.6, Non-specific incentive; if incentive is for outcome code 10.8, Incentive (outcome). If reward is delivered also code one of: 10.2, Material reward (behavior); 10.3, Non-specific reward; 10.4, Social reward, 10.9, Self-reward; 10.10, Reward (outcome)",,
10.7,Self-incentive,RT,Plan to reward self in future if and only if there has been effort and/or progress in performing the behavior,motivation,"Note: if self-reward is material, also code10.1, Material incentive (behavior), ifsocial, also code 10.5, Social incentive, ifunspecified, also code 10.6, Non-specificincentive; if incentive is for outcome code10.8, Incentive (outcome). If reward isdelivered also code one of: 10.2, Materialreward (behavior); 10.3, Non-specificreward; 10.4, Social reward, 10.9, Self-reward; 10.10, Reward (outcome)"
10.8,Incentive (outcome),RT,"Inform that a reward will be delivered if and only if there has been effort and/or progress in achieving the behavioural outcome (includes ‘Positive reinforcement’) Note: this includes social, material, self-and non-specific incentives for outcome; if incentive is for the behavior code 10.5, Social incentive, 10.1, Material incentive (behavior), 10.6, Non-specific incentive or 10.7, Self-incentive and not 10.8, Incentive (outcome). If reward is delivered also code one of: 10.2, Material reward (behavior); 10.3, Non-specific reward; 10.4, Social reward, 10.9, Self-reward; 10.10, Reward (outcome)",,
10.9,Self-reward,RT,"Prompt self-praise or self-reward if and only if there has been effort and/or progress in performing the behavior Note: if self-reward is material, also code 10.2, Material reward (behavior), if social, also code 10.4, Social reward, if unspecified, also code 10.3, Non-specific reward; if reward is for outcome code 10.10, Reward (outcome). If informed of reward in advance of rewarded behaviour, also code one of: 10.1, Material incentive (behaviour); 10.5, Social incentive; 10.6, Non-specific incentive; 10.7, Self-incentive; 10.8, Incentive (outcome)",,
11.1,Pharmacological support,R,"Provide, or encourage the use of or adherence to, drugs to facilitate behavior change",,
11.2,Reduce negative emotions,R,Advise on ways of reducing negative emotions to facilitate performance of the behavior (includes ‘Stress Management’),beliefs-about-capabilities,"Note: if includes analysing the behavioural problem, also code 1.2, Problem solving"
11.3,Conserving mental resources,R,Advise on ways of minimising demands on mental resources to facilitate behavior change,,
11.4,Paradoxical instructions,R,Advise to engage in some form of the unwanted behavior with the aim of reducing motivation to engage in that behaviour,,
12.1,Restructuring the physical environment,AN,"Change, or advise to change the physical environment in order to facilitate performance of the wanted behavior or create barriers to the unwanted behavior (other than prompts/cues, rewards and punishments)",behavioral-cueing; environmental-context-and-resources,"Note: this may also involve 12.3,Avoidance/reducing exposure to cues forthe behavior; if restructuring of the socialenvironment code 12.2, Restructuring thesocial environment;if only adding objects to the environment,code 12.5, Adding objects to theenvironment"
12.2,Restructuring the social environment,AN,"Change, or advise to change the social environment in order to facilitate performance of the wanted behavior or create barriers to the unwanted behavior (other than prompts/cues, rewards and punishments) Note: this may also involve 12.3, Avoidance/reducing exposure to cues for the behavior; if also restructuring of the physical environment also code 12.1, Restructuring the physical environment",environmental-context-and-resources; social-influences,
12.3,Avoidance/reducing exposure to cues for the behavior,AN,"Advise on how to avoid exposure to specific social and contextual/physical cues for the behavior, including changing daily or weekly routines Note: this may also involve 12.1, Restructuring the physical environment and/or 12.2, Restructuring the social environment; if the BCT includes analysing the behavioral problem, only code 1.2, Problem solving",needs,
12.4,Distraction,AN,Advise or arrange to use an alternative focus for attention to avoid triggers for unwanted behaviour,,
12.5,Adding objects to the environment,AN,"Add objects to the environment in order to facilitate performance of the behavior Note: Provision of information (e.g. written, verbal, visual) in a booklet or leaflet is insufficient. If this is accompanied by social support, also code 3.2, Social support (practical); if the environment is changed beyond the addition of objects, also code 12.1, Restructuring the physical environment",environmental-context-and-resources,
12.6,Body changes,AN,"Alter body structure, functioning or support directly to facilitate behavior change",,
13.1,Identification of self as role models,I,Inform that one's own behavior may be an example to others,self-image,
13.2,Framing/reframing,I,Suggest the deliberate adoption of a perspective or new perspective on behavior (e.g. its purpose) in order to change cognitions or emotions about performing the behavior (includes ‘Cognitive structuring’),attitude; self-image,"If informationabout consequences then code 5.1,Information about health consequences,5.6, Information about emotionalconsequences or 5.3, Information aboutsocial and environmental consequencesinstead of 13.2, Framing/reframing"
13.3,Incompatible beliefs,I,"Draw attention to discrepancies between current or past behavior and self-image, in order to create discomfort (includes ‘Cognitive dissonance’)",attitude,
13.4,Valued self-identity,I,Advise the person to write or complete rating scales about a cherished value or personal strength as a means of affirming the person’s identity as part of a behavior change strategy (includes ‘Self-affirmation’),,
13.5,Identity associated with changed behavior,I,Advise the person to construct a new self-identity as someone who ‘used to engage with the unwanted behavior’,motivation; values,
14.1,Behavior cost,SC,Arrange for withdrawal of something valued if and only if an unwanted behavior is performed (includes ‘Response cost’).,,"Note if withdrawal of contingent rewardcode, 14.3, Remove reward"
14.1,Remove punishment,SC,Arrange for removal of an unpleasant consequence contingent on performance of the wanted behavior (includes ‘Negative reinforcement’),,
14.2,Punishment,SC,Arrange for aversive consequence contingent on the performance of the unwanted behavior,,
14.3,Remove reward,SC,Arrange for discontinuation of contingent reward following performance of the unwanted behavior (includes ‘Extinction’),,
14.4,Reward approximation,SC,"Arrange for reward following any approximation to the target behavior, gradually rewarding only performance closer to the wanted behavior (includes ‘Shaping’) Note: also code one of 59-63",,
14.5,Rewarding completion,SC,Build up behavior by arranging reward following final component of the behavior; gradually add the components of the behavior that occur earlier in the behavioral sequence (includes ‘Backward chaining’),,"Note: also code one of 10.2, Materialreward (behavior); 10.3, Non-specificreward; 10.4, Social reward, 10.9, Self-reward; 10.10, Reward (outcome)"
14.6,Situation-specific reward,SC,"Arrange for reward following the behavior in one situation but not in another (includes ‘Discrimination training’) Note: also code one of 10.2, Material reward (behavior); 10.3, Non-specific reward; 10.4, Social reward, 10.9, Self-reward; 10.10, Reward (outcome)",,
14.7,Reward incompatible behavior,SC,"Arrange reward for responding in a manner that is incompatible with a previous response to that situation (includes ‘Counter-conditioning’) Note: also code one of 10.2, Material reward (behavior); 10.3, Non-specific reward; 10.4, Social reward, 10.9, Self-reward; 10.10, Reward (outcome)",,
14.8,Reward alternative behavior,SC,"Arrange reward for performance of an alternative to the unwanted behavior (includes ‘Differential reinforcement’) Note: also code one of 10.2, Material reward (behavior); 10.3, Non-specific reward; 10.4, Social reward, 10.9, Self-reward; 10.10, Reward (outcome); consider also coding 1.2, Problem solving",,
14.9,Reduce reward frequency,SC,"Arrange for rewards to be made contingent on increasing duration or frequency of the behavior (includes ‘Thinning’) Note: also code one of 10.2, Material reward (behavior); 10.3, Non-specific reward; 10.4, Social reward, 10.9, Self-reward; 10.10, Reward (outcome)",,
15.1,Verbal persuasion about capability,SB,"Tell the person that they can successfully perform the wanted behavior, arguing against self-doubts and asserting that they can and will succeed",beliefs-about-capabilities,
15.2,Mental rehearsal of successful performance,SB,Advise to practise imagining performing the behavior successfully in relevant contexts,motivation; values,
15.3,Focus on past success,SB,Advise to think about or list previous successes in performing the behavior (or parts of it),beliefs-about-capabilities,
15.4,Self-talk,SB,Prompt positive self-talk (aloud or silently) before and during the behavior,,
16.1,Imaginary punishment,CL,Advise to imagine performing the unwanted behavior in a real-life situation followed by imagining an unpleasant consequence (includes ‘Covert sensitisation’),,
16.2,Imaginary reward,CL,Advise to imagine performing the wanted behavior in a real-life situation followed by imagining a pleasant consequence (includes ‘Covert conditioning’),,
16.3,Vicarious consequences,CL,"Prompt observation of the consequences (including rewards and punishments) for others when they perform the behavior Note: if observation of health consequences, also code 5.1, Information about health consequences; if of emotional consequences, also code 5.6, Information about emotional consequences, if of social, environmental or unspecified consequences, also code 5.3, Information about social and environmental consequences",,
